Concelhos,Populacao,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06
Faro,61015,6,2,1,2,3,1,1,6,4,0,2,5,3,2,4,1,2,2,1,0,0,2,1,0,3,1,0,1,2,2,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,2,0,0,2,1,2,2,1,1,0,1,0,3,1,0,2,2,0,7,7,5,2,1,1,2,0,1,1,0,2,3,2,3,0,1,0,2,3,6,0,1,1,1,2,0,0,1,0,1,1,0,1,2,1,1,0,2,2,0,1,1,1,2,2,1,7,0,0,0,3,0,0,1,1,1,1,3,1,0,1,2,1,1,0,3,1,3,3,0,1,5,2,2,8,6,4,2,3,1,3,3,1,2,1,3,3,5,4,4,2,2,6,2,1,7,6,9,7,5,8,4,3,1,6,2,5,5,12,8,10,16,18,37,25,15,14,7,19,12,19,19,18,17,5,9,7,23,14,13,9,10,73,8,12,10,10,12,2,8,3,6,8,13,7,3,4,5,10,6,20,12,13,11,15,19,20,13,21,10,4,6,19,25,17,2,9,11,13,23,28,27,17,15,35,39,51,56,51,59,40,60,21,59,66,61,79,47,38,31,99,66,75,118,59,46,46,69,50,88,44,16,60,26,41,24,39,24,16,13,12,20
Olhão,44405,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,2,1,2,0,1,0,1,0,0,1,0,3,1,1,5,6,0,0,0,0,0,3,2,0,0,3,0,2,4,1,4,3,0,2,0,0,2,3,1,1,3,2,9,3,5,2,7,8,15,8,8,8,5,3,4,7,5,7,1,4,10,5,13,6,1,2,9,4,3,8,10,10,1,0,8,0,2,7,0,2,1,6,5,4,8,9,9,2,12,6,9,10,5,3,0,6,8,9,1,6,0,12,10,30,15,16,21,18,24,26,40,27,26,29,35,4,37,44,25,35,32,19,19,45,24,49,49,37,37,19,49,42,42,22,35,24,10,28,16,17,5,17,4,8,9
Albufeira,41528,0,3,1,0,0,4,5,10,0,2,2,6,4,1,4,2,3,4,2,1,3,2,5,2,4,0,0,3,3,1,1,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,2,1,6,4,0,1,3,5,7,2,1,9,1,0,1,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,2,1,0,1,4,9,8,0,0,1,1,0,0,1,2,0,0,2,2,0,0,1,0,1,2,3,1,3,1,0,1,1,3,1,2,1,2,6,0,0,2,0,0,0,0,2,1,4,0,3,2,3,2,7,2,2,2,1,5,2,2,8,6,0,1,4,1,3,7,9,6,3,14,2,5,2,1,4,2,9,6,5,3,7,8,0,11,4,8,2,2,0,4,6,3,8,2,5,2,5,10,7,5,8,2,4,5,15,11,14,7,2,10,13,13,9,15,10,6,5,5,8,11,9,8,5,4,5,3,11,10,8,5,4,2,5,3,9,9,10,3,5,6,8,4,4,3,0,4,4,5,6,14,4,5,5,45,6,7,6,1,4,13,20,14,32,14,11,29,23,39,50,73,33,42,27,19,58,77,31,52,66,19,20,53,37,54,25,34,37,7,45,19,34,21,11,14,8,31,70,17,7,12,9,3,9
Vila do Bispo,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,1,0,1,0,0,0,0,1,0,2,0,2,0,0,0,2,2,1,0,1,0,0,1,3,2,5,0,5,1,0,5,1,0,0,0,1,2,0,1,2,0,0,1,4,4,1,1,0,4,1,4,1,3,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,4,1,0,0,0,0,2,0,0,1,0,1,1,1,2,1,4,2,0,2,5,1,1,0,0,0,0,0,1,1,2,4,0,0,0,0,1,1,1,0,0,0
Lagos,30374,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,15,20,6,4,4,6,4,3,2,2,1,0,2,3,0,0,5,3,0,4,1,0,0,0,2,0,0,1,0,2,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,3,3,0,3,5,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,5,1,4,8,7,5,4,10,0,3,2,2,3,1,2,1,0,1,0,0,0,4,0,1,2,5,5,2,2,7,4,10,2,4,12,0,2,3,1,3,3,2,1,0,2,6,4,7,2,9,6,3,4,7,6,4,2,2,5,15,3,2,5,2,7,3,10,11,5,4,7,10,7,4,3,12,13,7,9,7,19,3,2,2,5,2,3,14,8,3,2,4,1,2,10,1,7,2,6,1,3,7,3,3,1,4,3,3,18,23,17,7,4,19,15,21,16,17,20,9,13,11,16,22,18,14,18,15,12,20,18,15,44,22,7,10,29,23,15,14,21,6,7,28,22,19,6,10,1,2,8
Lagoa,22762,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,2,1,2,1,0,1,2,2,0,0,0,1,1,0,1,1,1,4,3,0,0,4,3,0,0,0,0,1,1,0,0,1,0,0,2,2,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,3,1,2,6,0,4,5,2,3,3,3,4,7,2,0,2,13,5,7,6,15,5,2,7,9,4,2,0,2,4,4,5,3,1,0,0,0,5,3,1,2,1,3,0,0,0,3,0,1,0,0,2,3,3,3,0,1,4,1,12,2,1,1,4,5,4,2,16,12,7,3,12,5,9,9,16,7,8,11,8,11,5,10,7,2,7,13,13,2,8,17,5,3,11,16,2,4,1,0,5,8
Loulé,68697,2,1,1,0,1,2,1,5,1,1,4,1,3,2,1,6,10,1,2,0,0,0,3,1,0,0,1,3,1,3,1,1,0,3,0,3,0,0,1,1,0,1,2,4,0,0,1,0,4,0,3,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2,0,2,2,0,1,0,2,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,1,0,1,1,1,0,1,1,0,2,5,1,0,8,1,0,0,2,7,5,0,0,0,2,0,12,1,1,3,0,0,1,1,1,2,1,0,1,1,2,0,0,6,2,0,2,2,1,3,2,1,0,1,1,4,25,3,4,0,2,8,6,2,0,0,0,1,1,1,0,0,1,1,0,1,3,3,3,1,4,1,6,3,3,1,3,2,3,4,10,7,3,5,6,4,6,10,2,5,5,7,4,2,2,2,2,2,3,2,3,4,8,6,3,2,12,6,7,14,8,8,4,17,12,17,19,13,7,10,3,6,16,13,9,11,10,19,10,15,11,8,23,8,14,9,8,9,8,7,6,11,7,17,20,17,10,5,14,6,17,5,10,5,7,26,11,11,14,13,7,12,16,22,14,5,2,8,14,25,36,36,11,25,27,19,61,60,81,75,55,59,20,121,77,86,78,94,88,38,74,77,87,90,77,64,36,128,97,57,65,47,37,15,47,56,42,18,23,16,6,32
Silves,36226,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,6,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,1,0,1,3,0,0,2,0,1,0,0,1,0,1,1,0,1,2,1,0,0,0,0,0,0,1,2,0,4,0,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,2,0,2,1,1,0,1,0,1,0,0,0,0,0,2,0,3,1,0,0,1,2,2,2,0,0,0,0,1,1,3,0,2,1,1,0,1,2,4,1,2,2,1,1,1,2,2,2,2,1,3,2,1,3,2,10,2,8,8,3,4,4,5,6,5,4,3,4,2,5,14,0,5,2,10,2,3,2,10,9,5,2,0,6,15,1,4,6,2,2,11,10,5,6,5,3,7,3,3,4,2,4,3,4,8,4,3,38,9,0,13,2,5,13,18,8,4,16,9,17,12,26,13,32,8,12,20,19,8,27,20,12,17,25,30,15,23,29,12,10,20,18,33,17,20,16,8,20,65,8,6,12,2,4,5
Portimão,55483,0,2,3,0,0,3,0,4,1,0,2,0,1,0,0,1,0,8,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,2,2,0,1,0,1,3,6,1,0,2,10,2,1,0,6,0,0,4,0,1,4,0,2,0,0,0,2,3,2,1,1,3,2,1,0,0,2,1,0,0,1,0,2,2,1,0,0,2,1,0,2,1,0,0,0,0,3,0,0,0,0,1,2,1,0,1,0,0,2,5,0,1,0,1,0,0,1,1,2,0,0,1,0,0,2,2,0,0,1,2,0,1,3,0,0,1,0,1,0,1,1,1,2,0,1,4,9,3,5,10,6,1,4,0,7,2,1,4,0,3,3,1,1,1,6,11,5,9,4,5,8,4,13,21,8,9,8,18,13,3,11,10,1,2,8,11,17,9,2,8,4,10,17,21,15,6,15,25,19,25,16,12,23,5,7,15,23,12,23,17,6,7,13,2,11,12,17,18,49,17,6,11,8,2,11,8,8,7,2,1,9,6,5,10,2,13,6,4,3,8,17,9,21,12,3,6,13,28,23,17,15,20,11,13,21,23,10,25,19,11,17,9,18,28,57,21,25,19,31,19,36,16,5,12,24,50,47,26,20,13,0,8,9
Vila Real de Santo António,18749,0,0,0,1,0,0,1,1,4,0,0,1,1,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,2,1,2,4,7,6,3,3,3,3,11,3,7,2,5,1,0,5,3,2,3,3,2,0,0,2,0,1,2,0,0,3,0,0,0,2,0,0,1,1,2,1,4,2,0,1,9,10,0,2,1,2,13,7,2,1,1,0,6,1,3,2,6,0,2,2,0,2,1,3,0,1,1,1,1,1,5,1,0,0,2,2,1,1,0,0,1,4,2,1,1,1,0,2,11,10,1,2,3,1,1,13,3,0,2,2,2,8,4,17,10,2,18,16,9,8,14,19,8,14,7,6,10,18,27,15,26,19,11,51,33,49,40,36,13,31,45,25,40,29,29,17,9,8,31,17,23,16,3,23,8
